Xnose1,Ynose1,Xnose2,Ynose2,Xneck1,Yneck1,Xneck2,Yneck2,XRshoulder1,YRshoulder1,XRshoulder2,YRshoulder2,XRelbow1,YRelbow1,XRelbow2,YRelbow2,XRwrist1,YRwrist1,XRwrist2,YRwrist2,XLShoulder1,YLShoulder1,XLShoulder2,YLShoulder2,XLelbow1,YLelbow1,XLelbow2,YLelbow2,XLwrist1,YLwrist1,XLwrist2,YLwrist2,XRhip1,YRhip1,XRhip2,YRhip2,XRknee1,YRknee1,XRknee2,YRknee2,XRankle1,YRankle1,XRankle2,YRankle2,XLhip1,YLhip1,XLhip2,YLhip2,XLknee1,YLknee1,XLknee2,YLknee2,XLankle1,YLankle1,XLankle2,YLankle2,XReye1,YReye1,XReye2,YReye2,XLeye1,YLeye1,XLeye2,YLeye2,XRear1,YRear1,XRear2,YRear2,XLear1,YLear1,XLear2,YLear2,DistNeckHip1,DistNeckHip2,DistNoseLWrist1,DistNoseRWrist1,DistNoseLKnee1,DistNoseRKnee1,DistLHipLWrist1,DistLHipRWrist1,DistRHipLWrist1,DistRHipRWrist1,DistLHipLKnee1,DistLHipRKnee1,DistRHipLKnee1,DistRHipRKnee1,DistNoseLWrist2,DistNoseRWrist2,DistNoseLKnee2,DistNoseRKnee2,DistLHipLWrist2,DistLHipRWrist2,DistRHipLWrist2,DistRHipRWrist2,DistLHipLKnee2,DistLHipRKnee2,DistRHipLKnee2,DistRHipRKnee2,Violence
40,128,144,88,56,128,160,96,40,128,144,96,24,144,136,112,0,0,120,120,64,128,168,96,88,128,200,104,0,0,208,120,0,0,144,128,0,0,136,168,0,0,160,184,88,160,152,136,0,0,136,168,0,0,160,184,40,120,144,80,40,120,144,80,0,0,0,0,48,120,160,88,45.254834,40.79215611,168.1903683,80.39900497,104,104,126.4911064,51.2249939,0,0,48.66210024,48.66210024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,88,48,120,152,104,56,128,168,104,48,128,192,112,32,144,0,0,0,0,144,104,72,128,128,120,96,128,112,120,0,0,144,144,80,152,0,0,0,0,0,0,0,0,144,136,88,152,120,160,0,0,120,176,0,0,0,0,0,0,136,88,48,120,0,0,0,0,144,88,56,112,32.984845,40,0,0,0,0,0,0,0,0,0,0,0,0,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0
136,88,48,120,152,104,56,128,168,104,48,128,192,112,32,144,0,0,0,0,144,104,72,128,128,120,96,128,112,120,0,0,144,152,80,152,0,0,0,0,0,0,0,0,144,136,88,152,120,160,0,0,0,0,0,0,0,0,0,0,136,88,48,120,0,0,0,0,144,88,56,112,32.984845,40,0,0,0,0,0,0,0,0,0,0,0,0,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0
48,120,136,88,56,128,152,104,48,128,168,104,32,144,192,112,0,0,0,0,72,128,144,104,96,128,128,120,0,0,112,120,80,152,144,144,0,0,0,0,0,0,0,0,88,152,144,136,0,0,120,160,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,40,32.984845,64,0,82.36504113,0,40,0,45.254834,0,32.984845,0,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,152,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,33.9411255,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,160,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,40,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,120,136,88,64,128,152,104,48,128,168,104,32,144,184,112,0,0,0,0,72,128,144,104,96,128,144,144,0,0,0,0,80,152,144,160,0,0,0,0,0,0,0,0,88,152,144,144,0,0,0,0,0,0,0,0,0,0,0,0,48,120,136,88,0,0,0,0,56,112,144,88,33.9411255,40.79215611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,72,144,184,112,48,144,192,128,0,0,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,0,0,17.88854382,16,0,0,93.29523032,0,0,0,96,0,96.33275663,0,0,0,0,0,0
48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,72,144,184,112,48,144,192,128,0,0,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,0,0,17.88854382,16,0,0,93.29523032,0,0,0,96,0,96.33275663,0,0,0,0,0,0
48,120,128,96,64,128,152,104,48,128,144,104,32,144,128,120,0,0,112,120,80,128,160,104,96,128,184,112,0,0,192,128,56,152,144,136,0,0,120,144,0,0,0,0,120,160,144,144,0,0,128,144,0,0,0,0,0,0,128,88,48,120,128,88,0,0,0,0,64,112,144,88,64.49806199,40.79215611,144.222051,64,83.52245207,75.89466384,78.79086241,40.79215611,138.101412,64.49806199,17.88854382,16,72.44308111,64.49806199,0,0,0,0,0,0,0,0,0,0,0,0,0
